score
65.0
66.0
85.0
53.0
18.0
47.0
41.0
8.0
36.0
92.0
37.0
100.0
99.0
76.0
66.0
30.0
63.0
39.0
12.0
7.0
31.0
67.0
88.0
75.0
96.0
45.0
48.0
1.0
49.0
60.0
94.0
17.0
92.0
78.0
27.0
58.0
100.0
89.0
52.0
83.0
68.0
5.0
94.0
96.0
48.0
76.0
73.0
39.0
28.0
49.0
71.0
97.0
66.0
83.0
97.0
92.0
58.0
71.0
100.0
83.0
9.0
53.0
13.0
62.0
100.0
99.0
100.0
99.0
100.0
89.0
45.0
3.0
68.0
3.0
92.0
55.0
56.0
100.0
89.0
47.0
72.0
45.0
97.0
85.0
1.0
95.0
62.0
63.0
68.0
93.0
64.0
5.0
2.0
20.0
38.0
74.0
67.0
94.0
22.0
28.0
54.0
53.0
57.0
98.0
38.0
31.0
50.0
67.0
1.0
28.0
44.0
64.0
8.0
49.0
98.0
66.0
100.0
70.0
66.0
33.0
100.0
90.0
98.0
29.0
85.0
94.0
58.0
16.0
85.0
15.0
80.0
85.0
86.0
99.0
44.0
62.0
70.0
84.0
19.0
10.0
85.0
82.0
53.0
51.0
43.0
82.0
9.0
9.0
77.0
95.0
39.0
92.0
99.0
46.0
53.0
92.0
93.0
7.0
20.0
81.0
17.0
48.0
63.0
78.0
82.0
76.0
100.0
7.0
64.0
65.0
61.0
15.0
63.0
53.0
97.0
74.0
100.0
99.0
100.0
57.0
52.0
14.0
96.0
40.0
38.0
86.0
4.0
81.0
80.0
75.0
10.0
41.0
95.0
66.0
59.0
37.0
38.0
100.0
1.0
37.0
64.0
86.0
93.0
68.0
24.0
28.0
28.0
31.0
39.0
85.0
36.0
60.0
74.0
85.0
88.0
21.0
41.0
42.0
1.0
67.0
20.0
42.0
30.0
20.0
21.0
61.0
69.0
83.0
67.0
75.0
64.0
92.0
91.0
82.0
59.0
38.0
17.0
100.0
60.0
67.0
99.0
14.0
95.0
20.0
98.0
5.0
77.0
17.0
67.0
84.0
59.0
